kit,algorithm,priority_mode,fms,too_pessimistic,too_optimistic,matched,iterations
01_Net3_targeted-27,water_network,sweep,0.6063,3,1,55,2
01_Net3_targeted-27,water_network,none,0.6218,2,1,56,2
01_Net3_targeted-27,water_network_proportional,sweep,0.0043,59,0,0,3
01_Net3_targeted-27,water_network_proportional,none,0.0043,59,0,0,3
01_Net3_targeted-27,water_network_fairshare,sweep,0.6218,2,1,56,2
01_Net3_targeted-27,water_network_fairshare,none,0.6218,2,1,56,2
02_Net1_both-12,water_network,sweep,0.6076,4,0,4,2
02_Net1_both-12,water_network,none,0.6076,4,0,4,2
02_Net1_both-12,water_network_proportional,sweep,0.1339,8,0,0,2
02_Net1_both-12,water_network_proportional,none,0.1339,8,0,0,2
02_Net1_both-12,water_network_fairshare,sweep,0.6076,4,0,4,3
02_Net1_both-12,water_network_fairshare,none,0.6076,4,0,4,3
03_Zampis_targeted-22,water_network,sweep,0.7121,189,73,339,6
03_Zampis_targeted-22,water_network,none,0.7128,189,73,339,5
03_Zampis_targeted-22,water_network_proportional,sweep,0.3954,333,0,268,2
03_Zampis_targeted-22,water_network_proportional,none,0.3954,333,0,268,2
03_Zampis_targeted-22,water_network_fairshare,sweep,0.8248,89,86,426,3
03_Zampis_targeted-22,water_network_fairshare,none,0.8248,89,86,426,3
04_Net1_cluster-10,water_network,sweep,0.7273,3,0,5,3
04_Net1_cluster-10,water_network,none,0.7273,3,0,5,2
04_Net1_cluster-10,water_network_proportional,sweep,0.1364,7,0,1,2
04_Net1_cluster-10,water_network_proportional,none,0.1364,7,0,1,2
04_Net1_cluster-10,water_network_fairshare,sweep,1.0,0,0,8,2
04_Net1_cluster-10,water_network_fairshare,none,1.0,0,0,8,2
05_Cassacco_targeted-2,water_network,sweep,0.7337,124,0,286,2
05_Cassacco_targeted-2,water_network,none,0.7337,124,0,286,2
05_Cassacco_targeted-2,water_network_proportional,sweep,0.7337,124,0,286,2
05_Cassacco_targeted-2,water_network_proportional,none,0.7337,124,0,286,2
05_Cassacco_targeted-2,water_network_fairshare,sweep,0.7337,124,0,286,2
05_Cassacco_targeted-2,water_network_fairshare,none,0.7337,124,0,286,2
06_Zampis_targeted-22,water_network,sweep,0.7585,150,93,358,3
06_Zampis_targeted-22,water_network,none,0.7521,152,96,353,3
06_Zampis_targeted-22,water_network_proportional,sweep,0.2698,447,0,154,2
06_Zampis_targeted-22,water_network_proportional,none,0.2698,447,0,154,2
06_Zampis_targeted-22,water_network_fairshare,sweep,0.7598,95,147,359,4
06_Zampis_targeted-22,water_network_fairshare,none,0.7598,95,147,359,4
07_Cassacco_targeted-3,water_network,sweep,0.76,113,0,297,3
07_Cassacco_targeted-3,water_network,none,0.8009,97,0,313,2
07_Cassacco_targeted-3,water_network_proportional,sweep,0.383,261,0,149,2
07_Cassacco_targeted-3,water_network_proportional,none,0.383,261,0,149,2
07_Cassacco_targeted-3,water_network_fairshare,sweep,0.8085,94,0,316,2
07_Cassacco_targeted-3,water_network_fairshare,none,0.8085,94,0,316,2
08_Net3_cluster-17,water_network,sweep,0.7698,7,0,52,2
08_Net3_cluster-17,water_network,none,0.7627,9,0,50,3
08_Net3_cluster-17,water_network_proportional,sweep,0.131,57,0,2,2
08_Net3_cluster-17,water_network_proportional,none,0.131,57,0,2,2
08_Net3_cluster-17,water_network_fairshare,sweep,0.7734,7,0,52,2
08_Net3_cluster-17,water_network_fairshare,none,0.7734,7,0,52,2
09_Zampis_targeted-26,water_network,sweep,0.7804,198,0,403,2
09_Zampis_targeted-26,water_network,none,0.7804,198,0,403,2
09_Zampis_targeted-26,water_network_proportional,sweep,0.5532,199,0,402,2
09_Zampis_targeted-26,water_network_proportional,none,0.5532,199,0,402,2
09_Zampis_targeted-26,water_network_fairshare,sweep,0.7804,198,0,403,2
09_Zampis_targeted-26,water_network_fairshare,none,0.7804,198,0,403,2
10_Net3_targeted-4,water_network,sweep,0.7854,15,0,44,3
10_Net3_targeted-4,water_network,none,0.7854,15,0,44,2
10_Net3_targeted-4,water_network_proportional,sweep,0.9887,0,3,56,1
10_Net3_targeted-4,water_network_proportional,none,0.9887,0,3,56,1
10_Net3_targeted-4,water_network_fairshare,sweep,0.8329,1,3,55,2
10_Net3_targeted-4,water_network_fairshare,none,0.8329,1,3,55,2
