kit,algorithm,variant,fms,fms_raw,n_disconnected,too_pessimistic,too_optimistic,matched
01_Net3_targeted-27,water_network,control,0.6063,0.6063,0,3,1,55
01_Net3_targeted-27,water_network,vfloor_0.5,0.6063,0.6063,0,3,1,55
01_Net3_targeted-27,water_network,vfloor_1.0,0.6063,0.6063,0,3,1,55
01_Net3_targeted-27,water_network,vfloor_2.0,0.6841,0.6841,0,1,1,57
01_Net3_targeted-27,water_network,constv_1.0,0.4379,0.4379,0,23,0,36
01_Net3_targeted-27,water_network,constv_2.0,0.6763,0.6763,0,2,1,56
01_Net3_targeted-27,water_network,margin_1.5,0.6841,0.6841,0,1,1,57
01_Net3_targeted-27,water_network,margin_2.0,0.8399,0.8399,0,1,1,57
01_Net3_targeted-27,water_network,margin_3.0,0.9957,0.9957,0,0,1,58
01_Net3_targeted-27,water_network,margin_5.0,0.9957,0.9957,0,0,1,58
01_Net3_targeted-27,water_network,bidir_1.0,0.6841,0.6841,0,1,1,57
01_Net3_targeted-27,water_network,bidir_0.5,0.6841,0.6841,0,1,1,57
01_Net3_targeted-27,water_network,uncap_pv,0.6063,0.6063,0,3,1,55
01_Net3_targeted-27,water_network,supply_unbounded,0.6063,0.6063,0,3,1,55
01_Net3_targeted-27,water_network,split_floor_0.5,0.6029,0.6029,0,4,1,54
01_Net3_targeted-27,water_network,split_full,0.8399,0.8399,0,1,1,57
01_Net3_targeted-27,water_network,bidir+vfloor_1.0,0.6841,0.6841,0,1,1,57
01_Net3_targeted-27,water_network,bidir+margin_1.5,0.6841,0.6841,0,1,1,57
01_Net3_targeted-27,water_network,bidir+uncap_pv,0.6841,0.6841,0,1,1,57
01_Net3_targeted-27,water_network,margin_2.0+split_full,0.9957,0.9957,0,0,1,58
01_Net3_targeted-27,water_network,margin_3.0+split_full,0.9957,0.9957,0,0,1,58
01_Net3_targeted-27,water_network,margin_2.0+split_0.5,0.8399,0.8399,0,1,1,57
02_Net1_both-12,water_network,control,0.6076,0.6076,0,4,0,4
02_Net1_both-12,water_network,vfloor_0.5,0.6076,0.6076,0,4,0,4
02_Net1_both-12,water_network,vfloor_1.0,0.6076,0.6076,0,4,0,4
02_Net1_both-12,water_network,vfloor_2.0,0.7368,0.7368,0,4,0,4
02_Net1_both-12,water_network,constv_1.0,0.6076,0.6076,0,4,0,4
